ID,country,ROW_ID,run_folder,validation,predictor,environmentalArg,model,method,Tier_Sim,Tier_Obs
AGO,AGO,1460,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Random Forest,Scikit-learn generic: Random Forest regressor,A,C
ARE,ARE,1423,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Bagging regressor,Scikit-learn generic: Bagging regressor,None,B
BEL,BEL,1373,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'MCV2_Cov_RecAge': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,None,C
CIV,CIV,1136,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'MCV2': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,C,B
CMR,CMR,1072,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'MCV2': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,A,C
COG,COG,1022,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'mnths_since_outbreak_2_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,B,None
GAB,GAB,879,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'mnths_since_outbreak_20_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,A,None
GBR,GBR,878,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'migrations_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,C
GEO,GEO,875,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'MCV2_Cov_RecAge': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,B
GIN,GIN,872,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,C
