Attribute,Methods,Notes
ds,pass_unchanged,
unicef_region,pass_unchanged,
cluster,pass_unchanged,
population_jan,january_only interpolate_via_linear,"should make a new column that projects between population_jan and population_july values, so less interpolation"
population_july,july_only interpolate_via_linear,"should make a new column that projects between population_jan and population_july values, so less interpolation"
birth_per_1k,january_only divide_by_12 interpolate_via_linear,
births,january_only divide_by_12 interpolate_via_linear,
migrations,january_only divide_by_12 interpolate_via_linear,
migrations_per_1k,january_only divide_by_12 interpolate_via_linear,
ID_OWN_1524_ZS,january_only interpolate_via_linear forward_fill back_fill,Max 2 years of data per country
ID_OWN_25UP_ZS,january_only interpolate_via_linear forward_fill back_fill,Max 2 years of data per country
ID_OWN_BRTH_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_40_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_60_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_FE_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_MA_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_OW_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_PR_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_RU_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_SE_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_UR_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_WF_ZS,january_only interpolate_via_linear forward_fill back_fill,
ID_OWN_TOTL_ZS,january_only interpolate_via_linear forward_fill back_fill,
MCV1,january_only interpolate_via_linear forward_fill back_fill ,
MCV1_Cov_1yo,january_only interpolate_via_linear forward_fill back_fill ,
MCV2,january_only interpolate_via_linear forward_fill back_fill ,
MCV2_Cov_RecAge,january_only interpolate_via_linear forward_fill back_fill ,
