ID,predictor,environmentalArg,method,Prediction,Tier_Sim,Tier_Obs
KEN,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",unacceptable,None,C
MYS,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",unacceptable,None,A
PAK,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",unacceptable,C,A
PHL,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",unacceptable,None,C
SEN,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",unacceptable,None,C
BFA,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",unacceptable,C,B
SDN,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",unacceptable,B,None
BGD,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
BRA,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
BWA,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
DZA,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
EGY,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
ERI,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
GHA,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,C,C
IRQ,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,A,A
KHM,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
LAO,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
LBY,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,C,None
LKA,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,A,B
LSO,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
MMR,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
NAM,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,C,None
SLE,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
TLS,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
UGA,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
ZMB,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,C,None
ZWE,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
MOZ,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
NPL,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
TZA,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}","{'modelName': 'XGBRegressor','model':XGBRegressor}",acceptable,None,None
