ISO3,Country,Region,cluster,cluster_region,cluster_redraw
AGO,Angola,AFR,1,1,8
BEN,Benin,AFR,1,1,7
BDI,Burundi,AFR,1,1,7
CPV,Cabo Verde,AFR,1,1,7
CMR,Cameroon,AFR,1,1,7
CAF,Central African Republic,AFR,1,1,8
TCD,Chad,AFR,1,1,8
COM,Comoros,AFR,1,1,7
COG,Congo,AFR,1,1,7
CIV,Côte d'Ivoire,AFR,1,1,7
COD,Democratic Republic of the Congo,AFR,1,1,7
GNQ,Equatorial Guinea,AFR,1,1,7
ETH,Ethiopia,AFR,1,1,7
GAB,Gabon,AFR,1,1,7
GMB,Gambia,AFR,1,1,7
GIN,Guinea,AFR,1,1,8
GNB,Guinea-Bissau,AFR,1,1,7
LBR,Liberia,AFR,1,1,7
MDG,Madagascar,AFR,1,1,8
MLI,Mali,AFR,1,1,7
MRT,Mauritania,AFR,1,1,7
MUS,Mauritius,AFR,1,1,7
NER,Niger,AFR,1,1,7
NGA,Nigeria,AFR,1,1,7
RWA,Rwanda,AFR,1,1,7
STP,Sao Tome and Principe,AFR,1,1,7
SYC,Seychelles,AFR,1,1,7
SSD,South Sudan,AFR,1,1,7
TGO,Togo,AFR,1,1,7
AFG,Afghanistan,EMR,1,1,7
SOM,Somalia,EMR,1,1,8
YEM,Yemen,EMR,1,1,7
PNG,Papua New Guinea,WPR,1,5,8
DZA,Algeria,AFR,2,2,2
BWA,Botswana,AFR,2,2,2
BFA,Burkina Faso,AFR,2,2,1
ERI,Eritrea,AFR,2,2,1
SWZ,Eswatini,AFR,2,2,2
GHA,Ghana,AFR,2,2,1
KEN,Kenya,AFR,2,2,1
LSO,Lesotho,AFR,2,2,2
MWI,Malawi,AFR,2,2,1
MOZ,Mozambique,AFR,2,2,1
NAM,Namibia,AFR,2,2,1
SEN,Senegal,AFR,2,2,1
SLE,Sierra Leone,AFR,2,2,1
ZAF,South Africa,AFR,2,2,3
UGA,Uganda,AFR,2,2,1
TZA,United Republic of Tanzania,AFR,2,2,1
ZMB,Zambia,AFR,2,2,1
ZWE,Zimbabwe,AFR,2,2,1
ATG,Antigua and Barbuda,AMR,2,3,11
BHS,Bahamas,AMR,2,3,11
BRB,Barbados,AMR,2,3,11
BLZ,Belize,AMR,2,3,2
BOL,Bolivia (Plurinational State of),AMR,2,3,2
BRA,Brazil,AMR,2,3,2
COL,Colombia,AMR,2,3,2
CRI,Costa Rica,AMR,2,3,11
CUB,Cuba,AMR,2,3,11
DMA,Dominica,AMR,2,3,11
DOM,Dominican Republic,AMR,2,3,11
ECU,Ecuador,AMR,2,3,2
SLV,El Salvador,AMR,2,3,2
GRD,Grenada,AMR,2,3,11
GTM,Guatemala,AMR,2,3,11
GUY,Guyana,AMR,2,3,3
HTI,Haiti,AMR,2,3,11
HND,Honduras,AMR,2,3,11
JAM,Jamaica,AMR,2,3,11
NIC,Nicaragua,AMR,2,3,2
PAN,Panama,AMR,2,3,2
