ISO3,predictor1,predictor2,correlation,p_value,error_message
AFG,MCV1,mnths_since_outbreak_20_per_M,,,
AFG,MCV2,mnths_since_outbreak_20_per_M,,,
DZA,prop_prev_rolling_60_mnths_outbreak_5M,cases_1M_60z,,,
ARM,MCV1,mnths_since_outbreak_20_cuml_per_M,,,not enough finite observations
ARM,MCV1,mnths_since_outbreak_20_per_M,,,not enough finite observations
ARM,MCV1,prop_prev_rolling_12_mnths_outbreak_5M,,,
ARM,MCV1,prop_prev_rolling_24_mnths_outbreak_5M,,,
ARM,MCV1,prop_prev_rolling_60_mnths_outbreak_5M,,,
ARM,MCV2,mnths_since_outbreak_20_cuml_per_M,,,not enough finite observations
ARM,MCV2,mnths_since_outbreak_20_per_M,,,not enough finite observations
ARM,MCV2,prop_prev_rolling_12_mnths_outbreak_5M,,,
ARM,MCV2,prop_prev_rolling_24_mnths_outbreak_5M,,,
ARM,MCV2,prop_prev_rolling_60_mnths_outbreak_5M,,,
AUT,birth_per_1k,mnths_since_outbreak_20_per_M,,,
AUT,migrations_per_1k,mnths_since_outbreak_20_per_M,,,
AUT,MCV1,mnths_since_outbreak_20_per_M,,,not enough finite observations
AUT,MCV2,mnths_since_outbreak_20_per_M,,,not enough finite observations
AUT,mnths_since_outbreak_20_cuml_per_M,mnths_since_outbreak_20_per_M,,,
AZE,MCV1,mnths_since_outbreak_20_per_M,,,not enough finite observations
AZE,MCV2,mnths_since_outbreak_20_per_M,,,not enough finite observations
AZE,mnths_since_outbreak_20_cuml_per_M,mnths_since_outbreak_20_per_M,,,
BGD,MCV1,mnths_since_outbreak_20_cuml_per_M,,,
BGD,MCV1,cases_1M_36z,,,
BGD,MCV1,cases_1M_60z,,,
BGD,MCV2,mnths_since_outbreak_20_cuml_per_M,,,
BGD,MCV2,cases_1M_60z,,,
BLR,MCV2,mnths_since_outbreak_20_cuml_per_M,,,
BLR,MCV2,cases_1M_36z,,,
BLR,MCV2,cases_1M_60z,,,
BTN,prop_prev_rolling_12_mnths_outbreak_5M,cases_1M_60z,,,
BWA,prop_prev_rolling_12_mnths_outbreak_5M,cases_1M_36z,,,
BWA,prop_prev_rolling_12_mnths_outbreak_5M,cases_1M_60z,,,
BWA,prop_prev_rolling_24_mnths_outbreak_5M,cases_1M_60z,,,
BFA,MCV1,MCV2,,,
BFA,MCV1,mnths_since_outbreak_20_per_M,,,
BFA,MCV1,cases_1M_36z,,,
BFA,MCV1,cases_1M_60z,,,
BFA,MCV2,mnths_since_outbreak_20_per_M,,,
BDI,MCV1,mnths_since_outbreak_20_per_M,,,not enough finite observations
BDI,MCV2,mnths_since_outbreak_20_per_M,,,not enough finite observations
BDI,mnths_since_outbreak_20_cuml_per_M,mnths_since_outbreak_20_per_M,,,
CAF,MCV1,cases_1M_60z,,,
CHN,prop_prev_rolling_12_mnths_outbreak_5M,cases_1M_60z,,,
CHN,prop_prev_rolling_24_mnths_outbreak_5M,cases_1M_60z,,,
COM,MCV1,cases_1M_60z,,,
COM,MCV2,prop_prev_rolling_12_mnths_outbreak_5M,,,
COM,MCV2,prop_prev_rolling_60_mnths_outbreak_5M,,,
COM,MCV2,cases_1M_60z,,,
HRV,prop_prev_rolling_12_mnths_outbreak_5M,cases_1M_60z,,,
HRV,prop_prev_rolling_24_mnths_outbreak_5M,cases_1M_60z,,,
CIV,birth_per_1k,mnths_since_outbreak_20_per_M,,,
CIV,migrations_per_1k,mnths_since_outbreak_20_per_M,,,
CIV,MCV1,mnths_since_outbreak_20_per_M,,,not enough finite observations
CIV,MCV2,mnths_since_outbreak_20_per_M,,,not enough finite observations
CIV,mnths_since_outbreak_20_cuml_per_M,mnths_since_outbreak_20_per_M,,,
DJI,birth_per_1k,cases_1M_12z,,,
DJI,migrations_per_1k,cases_1M_12z,,,
DJI,MCV1,cases_1M_12z,,,not enough finite observations
DJI,MCV2,cases_1M_12z,,,not enough finite observations
EGY,prop_prev_rolling_12_mnths_outbreak_5M,cases_1M_60z,,,
EGY,prop_prev_rolling_24_mnths_outbreak_5M,cases_1M_60z,,,
ERI,MCV1,cases_1M_60z,,,
ERI,MCV2,cases_1M_60z,,,
DEU,prop_prev_rolling_12_mnths_outbreak_5M,cases_1M_60z,,,
DEU,prop_prev_rolling_24_mnths_outbreak_5M,cases_1M_60z,,,
GHA,MCV1,mnths_since_outbreak_20_per_M,,,not enough finite observations
GHA,MCV2,mnths_since_outbreak_20_per_M,,,not enough finite observations
GRC,MCV1,mnths_since_outbreak_20_cuml_per_M,,,
GRC,MCV1,mnths_since_outbreak_20_per_M,,,
GRC,MCV1,mnths_since_outbreak_2_per_M,,,
GRC,MCV1,cases_1M_36z,,,
GRC,MCV1,cases_1M_60z,,,
GRC,prop_prev_rolling_60_mnths_outbreak_5M,cases_1M_60z,,,
GIN,MCV1,mnths_since_outbreak_20_cuml_per_M,,,
GIN,MCV1,mnths_since_outbreak_20_per_M,,,
GIN,MCV1,cases_1M_36z,,,
GIN,MCV1,cases_1M_60z,,,
GNB,MCV1,mnths_since_outbreak_20_cuml_per_M,,,not enough finite observations
