"ISO3","predictor","p_value"
"AFG","birth_per_1k",1.11027783584689e-05
"AFG","migrations_per_1k",2.42223476463796e-05
"AFG","MCV1",0.00761993449812875
"AFG","MCV2",0.0331879031610772
"AFG","passengers_from_iso3_reporting_cases",0.212101435085798
"AFG","passengers_to_iso3_reporting_cases",0.0974414939696032
"AFG","mnths_since_outbreak_20_cuml_per_M",0.000152721156749779
"AFG","mnths_since_outbreak_20_per_M",0.00776512602900631
"AFG","mnths_since_SIA",0.0182857425687948
"AFG","outgoing_air_passengers",0.00758413797977644
"AFG","incoming_air_passengers",0.13437920584627
"AFG","prop_prev_rolling_12_mnths_outbreak_5M",2.00655087202468e-07
"AFG","prop_prev_rolling_24_mnths_outbreak_5M",7.75299456694688e-06
"AFG","prop_prev_rolling_60_mnths_outbreak_5M",1.90281956890532e-06
"AFG","cases_1M_12z",5.62703867458933e-08
"AFG","cases_1M_36z",2.61551363673881e-06
"AFG","cases_1M_60z",4.13685995856629e-05
"AFG","mean_temp",0.0636156134279233
"AFG","mean_precip_mm_per_day",0.00706980494296425
"ALB","birth_per_1k",0.000655802695909145
"ALB","migrations_per_1k",0.603269042475759
"ALB","MCV1",0.0406986750405543
"ALB","MCV2",0.00207383555767792
"ALB","passengers_from_iso3_reporting_cases",0.815966358043592
"ALB","passengers_to_iso3_reporting_cases",0.736393997567623
"ALB","mnths_since_outbreak_20_cuml_per_M",0.00483208295388764
"ALB","mnths_since_outbreak_20_per_M",0.000894787931938568
"ALB","mnths_since_SIA",0.000103645890204253
"ALB","outgoing_air_passengers",0.48464161351495
"ALB","incoming_air_passengers",0.458147266638905
"ALB","prop_prev_rolling_12_mnths_outbreak_5M",3.70850598182465e-07
"ALB","prop_prev_rolling_24_mnths_outbreak_5M",0.00190465377115529
"ALB","prop_prev_rolling_60_mnths_outbreak_5M",0.0681593003117255
"ALB","mean_temp",0.269452816561528
"DZA","birth_per_1k",0.908276398417951
"DZA","migrations_per_1k",0.216263690988097
"DZA","MCV1",0.113120281337575
"DZA","MCV2",0.0551634745970116
"DZA","passengers_from_iso3_reporting_cases",0.807769264222443
"DZA","passengers_to_iso3_reporting_cases",0.797098044050443
"DZA","mnths_since_SIA",0.262231215878864
"DZA","outgoing_air_passengers",0.589667500603724
"DZA","incoming_air_passengers",0.517049921823426
"DZA","prop_prev_rolling_12_mnths_outbreak_5M",0.0344879001490811
"DZA","prop_prev_rolling_24_mnths_outbreak_5M",0.267393646160921
"DZA","prop_prev_rolling_60_mnths_outbreak_5M",0.775377228246359
"DZA","cases_1M_36z",0.503738015413621
"DZA","cases_1M_60z",1
"DZA","mean_temp",0.170517962233776
"DZA","mean_precip_mm_per_day",0.80285628072848
"AGO","birth_per_1k",0.00145717855165474
"AGO","migrations_per_1k",0.00148708097415817
"AGO","MCV1",1.91522235660538e-07
"AGO","MCV2",0.00366029062379583
"AGO","passengers_from_iso3_reporting_cases",0.512850832908097
"AGO","passengers_to_iso3_reporting_cases",0.625560985531607
"AGO","mnths_since_outbreak_20_cuml_per_M",0.000114272064999774
"AGO","mnths_since_outbreak_20_per_M",0.00545137165744681
"AGO","mnths_since_SIA",0.781434474643353
"AGO","outgoing_air_passengers",0.0146575408384624
"AGO","incoming_air_passengers",0.0165858961524254
"AGO","prop_prev_rolling_12_mnths_outbreak_5M",1.81796905587526e-10
"AGO","prop_prev_rolling_24_mnths_outbreak_5M",2.13628621906483e-05
"AGO","prop_prev_rolling_60_mnths_outbreak_5M",0.0347216701959546
"AGO","cases_1M_12z",0.00055351533298437
"AGO","cases_1M_36z",0.0804786370389831
"AGO","cases_1M_60z",0.00450829077031733
"AGO","mean_temp",0.0546712619143727
"AGO","mean_precip_mm_per_day",0.0292705999594384
"ARM","birth_per_1k",6.2864852448391e-05
"ARM","migrations_per_1k",2.22058925429938e-06
"ARM","passengers_from_iso3_reporting_cases",0.0344826282555505
"ARM","passengers_to_iso3_reporting_cases",0.028318317619142
"ARM","mnths_since_outbreak_20_cuml_per_M",0.99487833447093
"ARM","mnths_since_outbreak_20_per_M",0.0342936432677654
"ARM","mnths_since_SIA",0.00434418980671317
"ARM","outgoing_air_passengers",0.965618199518367
"ARM","incoming_air_passengers",0.648959999319751
"ARM","prop_prev_rolling_12_mnths_outbreak_5M",2.96568348869249e-08
"ARM","prop_prev_rolling_24_mnths_outbreak_5M",1.19600331418201e-06
"ARM","prop_prev_rolling_60_mnths_outbreak_5M",1.1960033141819e-06
"ARM","mean_temp",0.290410296095508
"AUT","birth_per_1k",0.00269850652418332
"AUT","migrations_per_1k",0.471125004722206
"AUT","MCV1",0.229764359442763
"AUT","MCV2",0.34606376182255
"AUT","passengers_from_iso3_reporting_cases",0.948616847600423
"AUT","passengers_to_iso3_reporting_cases",0.948628667845929
"AUT","mnths_since_outbreak_20_cuml_per_M",0.144070981952241
"AUT","mnths_since_outbreak_20_per_M",0.405371567551135
"AUT","outgoing_air_passengers",0.12489958962259
"AUT","incoming_air_passengers",0.965731868876806
"AUT","prop_prev_rolling_12_mnths_outbreak_5M",0.0118767138330218
"AUT","prop_prev_rolling_24_mnths_outbreak_5M",0.101902430342348
"AUT","prop_prev_rolling_60_mnths_outbreak_5M",0.939372696481631
"AUT","cases_1M_12z",0.000175599634883322
"AUT","mean_temp",0.0727445470556079
"AZE","birth_per_1k",0.00515033498476823
"AZE","migrations_per_1k",0.267594481254942
"AZE","MCV2",0.582365527132962
"AZE","passengers_from_iso3_reporting_cases",0.83570221591277
"AZE","passengers_to_iso3_reporting_cases",0.815852953031469
"AZE","mnths_since_SIA",0.000425914378893257
"AZE","outgoing_air_passengers",0.62030904904498
"AZE","incoming_air_passengers",0.16000526170732
"AZE","prop_prev_rolling_12_mnths_outbreak_5M",0.000406822282549952
