index,ds,y,yhat1,year,cuml_y,cuml_yhat1,outbreak_observed_2M,outbreak_predicted_2M,outbreak_observed_20M,outbreak_predicted_20M,outbreak_observed_cuml_20M,outbreak_predicted_cuml_20M
1272,2011-04-01,15.4437785390839,8.64138502844004,2011,15.4437785390839,8.64138502844004,Yes,Yes,No,No,No,No
1272,2011-05-01,6.47780710944907,6.33484236910243,2011,21.921585648533,14.9762273975425,Yes,Yes,No,No,Yes,No
1272,2011-06-01,3.76901738156214,6.61063843194827,2011,25.6906030300951,21.5868658294907,Yes,Yes,No,No,Yes,Yes
1272,2011-07-01,2.66589034305615,5.72019169975066,2011,28.3564933731513,27.3070575292414,Yes,Yes,No,No,Yes,Yes
1272,2011-08-01,2.65976185950889,5.72019169975066,2011,31.0162552326602,33.0272492289921,Yes,Yes,No,No,Yes,Yes
1272,2011-09-01,1.42180818296328,5.72019169975066,2011,32.4380634156234,38.7474409287427,No,Yes,No,No,Yes,Yes
1272,2011-10-01,1.53212088681388,3.14016228533543,2011,33.9701843024373,41.8876032140782,No,Yes,No,No,Yes,Yes
1272,2011-11-01,2.08981288961413,3.01630375366245,2011,36.0599971920514,44.9039069677406,Yes,Yes,No,No,Yes,Yes
1272,2011-12-01,1.2808530613764,3.01630375366245,2011,37.3408502534278,47.9202107214031,No,Yes,No,No,Yes,Yes
1272,2012-01-01,1.97311569656576,3.3926605676123,2012,1.97311569656576,3.3926605676123,No,Yes,No,No,No,No
1272,2012-02-01,4.68540464501717,6.61063843194827,2012,6.65852034158293,10.0032989995606,Yes,Yes,No,No,No,No
1272,2012-03-01,6.29489479025208,7.3052089345519,2012,12.953415131835,17.3085079341125,Yes,Yes,No,No,No,No
1272,2012-04-01,3.01630375366245,6.61063843194827,2012,15.9697188854975,23.9191463660607,Yes,Yes,No,No,No,Yes
1272,2012-05-01,1.00742160942481,6.20601692332128,2012,16.9771404949223,30.125163289382,No,Yes,No,No,No,Yes
1272,2012-06-01,0.661679281929906,6.20601692332128,2012,17.6388197768522,36.3311802127033,No,Yes,No,No,No,Yes
1272,2012-07-01,0.590146386586132,4.79301102578011,2012,18.2289661634383,41.1241912384834,No,Yes,No,No,No,Yes
1272,2012-08-01,0.757056475721604,4.30407707603859,2012,18.9860226391599,45.428268314522,No,Yes,No,No,No,Yes
1272,2012-09-01,0.864355818737265,3.3926605676123,2012,19.8503784578972,48.8209288821343,No,Yes,No,No,No,Yes
1272,2012-10-01,0.780900774169529,2.71978328249544,2012,20.6312792320667,51.5407121646297,No,Yes,No,No,Yes,Yes
1272,2012-11-01,1.74063378669849,2.71978328249544,2012,22.3719130187652,54.2604954471252,No,Yes,No,No,Yes,Yes
1272,2012-12-01,1.16240954933632,2.71978328249544,2012,23.5343225681015,56.9802787296206,No,Yes,No,No,Yes,Yes
1272,2013-01-01,38.3301611470626,38.3301611470626,2013,38.3301611470626,38.3301611470626,Yes,Yes,Yes,Yes,Yes,Yes
1272,2013-02-01,71.0337701886998,64.1219340700438,2013,109.363931335762,102.452095217106,Yes,Yes,Yes,Yes,Yes,Yes
1272,2013-03-01,103.232729711603,103.232729711603,2013,212.596661047365,205.684824928709,Yes,Yes,Yes,Yes,Yes,Yes
1272,2013-04-01,54.6181594068918,60.5874724184583,2013,267.214820454257,266.272297347168,Yes,Yes,Yes,Yes,Yes,Yes
1272,2013-05-01,25.4819004114779,14.9163094503179,2013,292.696720865735,281.188606797486,Yes,Yes,Yes,No,Yes,Yes
1272,2013-06-01,8.74145775554226,9.15550868720928,2013,301.438178621277,290.344115484695,Yes,Yes,No,No,Yes,Yes
1272,2013-07-01,5.63815324378705,10.0389663296061,2013,307.076331865064,300.383081814301,Yes,Yes,No,No,Yes,Yes
1272,2013-08-01,3.98499102724455,9.15550868720928,2013,311.061322892309,309.53859050151,Yes,Yes,No,No,Yes,Yes
1272,2013-09-01,3.14970906520202,8.4935848587706,2013,314.211031957511,318.032175360281,Yes,Yes,No,No,Yes,Yes
1272,2013-10-01,3.20771475701053,6.00805244312396,2013,317.418746714522,324.040227803405,Yes,Yes,No,No,Yes,Yes
1272,2013-11-01,2.94088857469139,6.00805244312396,2013,320.359635289213,330.048280246529,Yes,Yes,No,No,Yes,Yes
1272,2013-12-01,1.27032465060634,4.75353677950454,2013,321.629959939819,334.801817026033,No,Yes,No,No,Yes,Yes
1272,2014-01-01,8.81080298427771,8.14209166255875,2014,8.81080298427771,8.14209166255875,Yes,Yes,No,No,No,No
1272,2014-02-01,10.6237951368118,12.244450241625,2014,19.4345981210895,20.3865419041838,Yes,Yes,No,No,No,Yes
1272,2014-03-01,7.25761656076722,12.6542889753893,2014,26.6922146818567,33.0408308795731,Yes,Yes,No,No,Yes,Yes
